    3,113,088       1,839,902           1,581,233       1,581,233
    3,569,058       2,064,998           1,715,332       1,715,322
     3,300,744       1,909,304           1,644,947       1,644,947
     3,408,867       1,930,829           1,640,942       1,640,942
   3,377,547       1,881,221           1,468,325       1,468,325
    3,024,082       1,658,411           1,413,345       1,413,345
     3,381,166       1,971,176           1,634,912       1,634,912
     3,376,678       1,924,191           1,542,090       1,542,090
    3,617,807       2,065,647           1,684,055       1,684,055
  3,315,019       1,928,579           1,520,515       1,520,515
