     15,190,371      8,570,154       6,411,581       6,411,581
     13,356,727      7,592,040       6,112,598       6,112,598
     12,919,259      7,313,736       5,985,538       5,985,538
     12,705,290      7,300,217       6,096,729       6,096,729
     13,276,868      7,738,367       6,348,242       6,348,242
     12,236,080      7,144,491       6,082,142       6,082,142
      14,160,773      8,426,024       6,575,879       6,575,879
 13,314,723      7,508,507       6,069,658       6,069,658
      12,433,821      7,299,271       6,188,416       6,188,416
  13,395,234      7,617,658       6,147,295       6,147,295
